Sequence,Timestamp_ms,Distance_m,SNR_dB,SNR_EMA_dB,PacketLost,PerRadio_EMA,AuthFail,PerAuth_EMA,Battery,SelectedMode,ModeSwitched,Cost_CTR,Cost_CBC,Cost_GCM,Latency_ms,Latitude,Longitude
219,219344,12.73,12,9.499,0,0,0,0,0.9013,GCM,0,0.3457,0.4247,0.2615,286.43,22.719621,75.857813
220,220346,9.11,12,10.249,0,0,0,0,0.8912,GCM,0,0.3477,0.4272,0.264,288.03,22.719593,75.857777
221,221348,14.05,12,10.774,0,0,0,0,0.9008,GCM,0,0.3458,0.4248,0.2616,288.61,22.719632,75.857811
222,222351,12.61,12,11.142,0,0,0,0,0.903,GCM,0,0.3453,0.4243,0.2611,286.51,22.719624,75.85782
223,223353,10.35,12,11.4,0,0,0,0,0.8938,GCM,0,0.3472,0.4265,0.2633,289.41,22.71959,75.857799
224,224355,20.46,8,10.38,0,0,0,0,0.8946,GCM,0,0.347,0.4263,0.2631,289.02,22.719676,75.857899
225,225356,13.86,12,10.866,0,0,0,0,0.8927,GCM,0,0.3474,0.4268,0.2636,286.23,22.719629,75.85784
226,226357,22.52,10,10.606,0,0,0,0,0.8986,GCM,0,0.3462,0.4253,0.2622,290.19,22.719706,75.857947
227,227363,4.96,12,11.024,0,0,0,0,0.9024,GCM,0,0.3454,0.4244,0.2612,288.33,22.719532,75.857733
228,228364,16.82,10,10.717,0,0,0,0,0.8907,GCM,0,0.3478,0.4273,0.2641,286.28,22.719664,75.857856
229,229366,26.61,10,10.502,0,0,0,0,0.894,GCM,0,0.3471,0.4265,0.2633,287.34,22.719744,75.857948
230,230368,15.6,11,10.651,0,0,0,0,0.8901,GCM,0,0.3479,0.4275,0.2642,286.34,22.719633,75.85783
231,231370,18.87,8,9.856,0,0,0,0,0.89,GCM,0,0.348,0.4275,0.2642,285.57,22.719675,75.857892
232,232372,13.76,9,9.599,0,0,0,0,0.8964,GCM,0,0.3467,0.4259,0.2627,291.13,22.719649,75.857823
233,233373,21.81,8,9.119,0,0,0,0,0.8907,GCM,0,0.3478,0.4273,0.2641,287.72,22.719687,75.857942
234,234375,21.44,11,9.684,0,0,0,0,0.8933,GCM,0,0.3473,0.4267,0.2635,290.09,22.719728,75.857936
235,235377,14.14,12,10.379,0,0,0,0,0.8948,GCM,0,0.347,0.4263,0.2631,288.72,22.719651,75.85785
236,236381,19.12,11,10.565,0,0,0,0,0.8845,GCM,0,0.3491,0.4289,0.2656,290.06,22.719669,75.857867
237,237381,34.32,6,9.195,0,0,0,0,0.8874,GCM,0,0.3485,0.4282,0.2649,288.33,22.719799,75.858058
238,238382,22.18,9,9.137,0,0,0,0,0.8874,GCM,0,0.3485,0.4282,0.2649,285.87,22.719719,75.857904
239,239386,34.75,7,8.496,0,0,0,0,0.888,GCM,0,0.3484,0.428,0.2647,288.4,22.719781,75.858022
240,240386,36.23,5,7.447,0,0,0,0,0.8911,GCM,0,0.3478,0.4272,0.264,290.05,22.719816,75.858056
241,241387,27.79,6,7.013,0,0,0,0,0.8944,GCM,0,0.3471,0.4264,0.2632,288.99,22.719756,75.857957
242,242388,26.66,7,7.009,0,0,0,0,0.8977,GCM,0,0.3464,0.4256,0.2624,289.97,22.719728,75.857978
243,243390,28.31,12,8.506,0,0,0,0,0.8834,GCM,0,0.3493,0.4291,0.2658,288.42,22.719745,75.857973
244,244392,27.45,11,9.254,0,0,0,0,0.8836,GCM,0,0.3493,0.4291,0.2658,287.18,22.719738,75.857981
245,245394,35.74,0,6.478,0,0,0,0,0.8913,GCM,0,0.3477,0.4272,0.2639,290.15,22.719838,75.858046
246,246395,24.21,9,7.235,0,0,0,0,0.8818,GCM,0,0.3496,0.4296,0.2662,287.79,22.719706,75.857939
247,247397,46.68,5,6.564,0,0,0,0,0.8829,GCM,0,0.3494,0.4293,0.266,287.97,22.719931,75.85815
248,248399,34.6,4,5.795,0,0,0,0,0.8866,GCM,0,0.3487,0.4284,0.2651,288.26,22.719805,75.858017
249,249399,45.41,7,6.156,0,0,0,0,0.8885,GCM,0,0.3483,0.4279,0.2646,286.61,22.719909,75.858123
250,250401,34.69,4,5.51,0,0,0,0,0.889,GCM,0,0.3482,0.4278,0.2645,286.98,22.719763,75.858037
251,251402,47.12,7,5.957,0,0,0,0,0.886,GCM,0,0.3488,0.4285,0.2652,288.25,22.719904,75.858185
252,252403,51.45,3,5.07,0,0,0,0,0.873,GCM,0,0.3514,0.4317,0.2684,288.99,22.719947,75.858217
253,253405,45.5,0,3.549,0,0,0,0,0.8841,GCM,0,0.3492,0.429,0.2657,288.44,22.719909,75.858142
254,254408,57.26,1,2.784,0,0,0,0,0.8809,GCM,0,0.3498,0.4298,0.2664,288.25,22.719993,75.858251
255,255410,57.71,-2,1.349,0,0,1,0.3,0.8799,GCM,1,0.35,0.43,0.6013,409.98,22.720034,75.858268
256,256412,49.35,1,1.244,0,0,0,0.21,0.8819,GCM,0,0.3496,0.4295,0.4905,368.32,22.719954,75.858224
257,257412,43.05,7,2.971,0,0,0,0.21,0.8858,CTR,0,0.3488,0.4286,0.4895,243.27,22.719895,75.858094
258,258414,46.18,4,3.28,0,0,0,0.21,0.8829,CTR,0,0.3494,0.4293,0.4902,243.03,22.719923,75.858154
259,259415,49.58,2,2.896,0,0,0,0.21,0.8838,CTR,0,0.3492,0.4291,0.49,239.62,22.719943,75.858158
260,260416,62.27,-1,1.727,0,0,0,0.21,0.8842,CTR,0,0.3491,0.4289,0.4899,238.53,22.720062,75.858304
261,261416,56.35,-20,-4.791,1,0.3,0,0.21,0.8843,CTR,0,0.7045,0.7225,0.8802,346.39,22.719998,75.858258
262,262416,44.99,3,-2.454,0,0.21,0,0.21,0.8813,CTR,0,0.5833,0.6249,0.7394,303.11,22.719912,75.858124
263,263418,46.86,6,0.082,0,0.147,0,0.21,0.8741,CTR,0,0.5086,0.564,0.6573,282.7,22.719923,75.858159
264,264419,63.53,0,0.058,0,0.1029,0,0.21,0.877,CTR,0,0.4582,0.5218,0.6034,271.22,22.720082,75.858319
265,265420,62.65,0,0.04,0,0.072,0,0.21,0.8758,CTR,0,0.425,0.494,0.5685,261.61,22.720048,75.858287
266,266424,64,2,0.628,0,0.0504,0,0.21,0.8776,CTR,0,0.4018,0.4743,0.5443,254.32,22.720087,75.858359
267,267424,64.03,-1,0.14,0,0.0353,0,0.21,0.8795,CTR,0,0.3858,0.4605,0.5277,253.09,22.720091,75.8583
268,268425,72.61,-2,-0.502,0,0.0247,0,0.21,0.867,CTR,0,0.3775,0.4544,0.5196,248.94,22.720158,75.858422
269,269425,60.95,3,0.548,0,0.0173,0,0.21,0.8703,CTR,0,0.3693,0.4472,0.511,246.18,22.720066,75.858303
270,270429,70.57,1,0.684,0,0.0121,0,0.21,0.8795,CTR,0,0.3622,0.4405,0.5035,242.52,22.720154,75.858397
271,271432,61.06,2,1.079,0,0.0085,0,0.21,0.8725,CTR,0,0.36,0.4391,0.5014,242.64,22.72006,75.858301
272,272434,68.54,-2,0.155,0,0.0059,0,0.21,0.8788,CTR,0,0.3562,0.4354,0.4973,244.24,22.720144,75.858347
273,273437,69.57,-1,-0.191,0,0.0042,0,0.21,0.8733,CTR,0,0.3555,0.4352,0.4968,242.66,22.720137,75.858382
274,274439,70.81,2,0.466,0,0.0029,0,0.21,0.8734,CTR,0,0.3542,0.4341,0.4955,243.12,22.720096,75.858368
275,275441,74.86,0,0.326,0,0.002,0,0.21,0.8727,CTR,0,0.3535,0.4336,0.4948,244.22,22.720184,75.858419
276,276444,79.48,-2,-0.372,0,0.0014,0,0.147,0.878,GCM,0,0.3518,0.4317,0.4215,333.93,22.720231,75.858473
277,277446,86.01,-1,-0.56,0,0.001,0,0.147,0.8769,CTR,0,0.3516,0.4316,0.4214,241.58,22.720266,75.85858
278,278447,83.27,1,-0.092,0,0.0007,0,0.147,0.8731,CTR,0,0.3521,0.4323,0.422,240.3,22.720222,75.858488
279,279449,80.21,0,-0.064,0,0.0005,0,0.147,0.8787,CTR,0,0.3508,0.4307,0.4204,240.97,22.720215,75.858462
280,280450,84.78,-4,-1.245,0,0.0003,0,0.147,0.8712,CTR,0,0.3521,0.4325,0.4221,243.03,22.720257,75.858541
281,281452,88.63,-4,-2.072,0,0.0002,0,0.147,0.8664,CTR,0,0.353,0.4336,0.4232,243.07,22.720312,75.858572
282,282454,81.97,-11,-4.75,1,0.3002,0,0.147,0.868,CTR,0,0.708,0.7268,0.7727,346.57,22.720257,75.858491
283,283454,84.18,-2,-3.925,0,0.2101,0,0.147,0.8636,CTR,0,0.5871,0.6295,0.6506,306.79,22.720249,75.858523
284,284454,89.06,2,-2.148,0,0.1471,0,0.147,0.871,CTR,0,0.5093,0.5649,0.5737,285.75,22.7203,75.858602
285,285457,84.28,-2,-2.103,0,0.103,0,0.147,0.8652,CTR,0,0.4606,0.5248,0.5267,270.27,22.720254,75.858496
286,286457,100.14,-4,-2.672,0,0.0721,0,0.147,0.8699,CTR,0,0.4262,0.4955,0.4932,263.51,22.720397,75.858676
287,287459,85.02,0,-1.871,0,0.0504,0,0.147,0.8706,CTR,0,0.4033,0.476,0.4711,256.08,22.720258,75.858527
288,288460,86.02,-4,-2.509,0,0.0353,0,0.147,0.8708,CTR,0,0.3876,0.4627,0.456,249.43,22.72029,75.858538
289,289462,84.79,-7,-3.857,1,0.3247,0,0.147,0.8617,CTR,0,0.7459,0.7574,0.8122,358.25,22.72024,75.858522
290,290466,94.02,-4,-3.9,0,0.2273,0,0.147,0.8639,CTR,0,0.609,0.6473,0.6724,314.7,22.720341,75.858605
291,291467,86.3,-2,-3.33,0,0.1591,0,0.147,0.8648,CTR,0,0.5247,0.5781,0.589,287.33,22.720295,75.858531
292,292467,96.81,-2,-2.931,0,0.1114,0,0.147,0.8718,CTR,0,0.4686,0.5309,0.5341,274.16,22.720365,75.858661
293,293468,98.83,0,-2.052,0,0.078,0,0.147,0.8665,CTR,0,0.4332,0.5016,0.5001,260.05,22.720411,75.858658
294,294470,93.42,1,-1.136,0,0.0546,0,0.147,0.8623,CTR,0,0.4093,0.4818,0.4773,257.05,22.720371,75.858611
295,295471,109.08,-4,-1.995,0,0.0382,0,0.147,0.8649,CTR,0,0.3917,0.4667,0.4603,254.24,22.720515,75.858789
296,296472,91.19,-3,-2.297,0,0.0267,0,0.1029,0.859,GCM,0,0.3812,0.4582,0.4018,333.95,22.720354,75.858587
297,297473,103.73,-3,-2.508,0,0.0187,0,0.1029,0.8536,CTR,0,0.3741,0.4526,0.3956,245.64,22.720448,75.858748
298,298475,98.13,-2,-2.355,0,0.0131,0,0.1029,0.8565,CTR,0,0.3679,0.4471,0.3898,248.88,22.720393,75.858673
299,299476,100.5,-3,-2.549,0,0.0092,0,0.1029,0.8564,CTR,0,0.364,0.4437,0.3862,245.35,22.720367,75.858662
300,300476,107.15,-7,-3.884,1,0.3064,0,0.1029,0.8636,CTR,0,0.7181,0.7352,0.7126,349.8,22.720449,75.858759
301,301478,89.7,-6,-4.519,0,0.2145,0,0.1029,0.8601,CTR,0,0.5933,0.6349,0.5967,307.73,22.7203,75.858596
302,302478,106.41,-4,-4.363,0,0.1501,0,0.1029,0.8532,CTR,0,0.5165,0.5723,0.5263,283.45,22.720445,75.858729
303,303481,109.15,-7,-5.154,0,0.1051,0,0.1029,0.8583,CTR,0,0.4644,0.5285,0.4781,271.17,22.720475,75.858767
304,304483,96.94,-4,-4.808,0,0.0736,0,0.1029,0.8621,CTR,0,0.4294,0.4988,0.4458,261.36,22.720371,75.858655
305,305484,99.04,-2,-3.966,0,0.0515,0,0.1029,0.8563,CTR,0,0.4073,0.4805,0.4258,256.64,22.720374,75.858663
306,306486,108.17,-4,-3.976,0,0.0361,0,0.1029,0.8508,CTR,0,0.3924,0.4683,0.4125,251.26,22.720467,75.85878
307,307487,98.7,-5,-4.283,0,0.0252,0,0.1029,0.8543,CTR,0,0.3806,0.4581,0.4015,246.83,22.720387,75.858681
308,308487,90.36,-1,-3.298,0,0.0177,0,0.1029,0.8561,CTR,0,0.3726,0.4511,0.3941,244.79,22.720298,75.85857
309,309489,109.46,-6,-4.109,0,0.0124,0,0.1029,0.8588,CTR,0,0.3667,0.4458,0.3885,244.35,22.720484,75.858762
310,310491,114.77,-4,-4.076,0,0.0087,0,0.1029,0.8481,CTR,0,0.3651,0.4454,0.3877,242,22.720536,75.858829
311,311491,118.44,-7,-4.953,0,0.0061,0,0.1029,0.8553,CTR,0,0.3611,0.4413,0.3836,244.51,22.720529,75.858835
312,312494,114.55,-4,-4.667,0,0.0042,0,0.1029,0.8564,CTR,0,0.359,0.4395,0.3816,241.89,22.720533,75.858805
313,313494,122.05,-7,-5.367,1,0.303,0,0.1029,0.8545,CTR,0,0.7149,0.7334,0.7101,345.06,22.720601,75.858848
314,314495,127.02,-1,-4.057,0,0.2121,0,0.1029,0.8587,CTR,0,0.5905,0.6327,0.5942,308.54,22.720627,75.858941
315,315495,127.05,-7,-4.94,1,0.4485,0,0.1029,0.8535,CTR,0,0.9632,0.9272,0.949,440.06,22.720642,75.858951
316,316496,116.96,-2,-4.058,0,0.3139,0,0.072,0.8501,GCM,1,0.732,0.7474,0.6797,470.49,22.720544,75.858845
317,317497,121.48,-1,-3.141,0,0.2197,0,0.0504,0.8484,GCM,0,0.6024,0.6432,0.5381,395.28,22.720607,75.858879
318,318500,125.56,-4,-3.398,0,0.1538,0,0.0353,0.8552,GCM,0,0.5204,0.5753,0.4498,356.32,22.720601,75.858926
319,319503,120.08,-2,-2.979,0,0.1077,0,0.0247,0.8457,GCM,0,0.4698,0.534,0.3958,330.61,22.720587,75.858855
320,320505,128.12,-4,-3.285,0,0.0754,0,0.0173,0.8418,GCM,0,0.4354,0.5055,0.3592,316.82,22.720662,75.858958
321,321505,129.86,-6,-4.1,1,0.3528,0,0.0173,0.8446,GCM,0,0.7933,0.7964,0.6521,457.17,22.720643,75.85894
322,322508,117.35,-4,-4.07,1,0.5469,0,0.0173,0.8542,GCM,0,1.1923,1.0994,0.9622,659,22.720547,75.858826
323,323509,129.97,-4,-4.049,0,0.3829,1,0.3121,0.8494,GCM,0,0.8424,0.8343,1.3654,944.9,22.720674,75.858959
324,324511,125.24,-5,-4.334,0,0.268,1,0.5185,0.8482,GCM,0,0.6665,0.6952,1.8554,1349.06,22.720601,75.858918
325,325512,132.11,-7,-5.134,1,0.4876,0,0.5185,0.8446,GCM,0,1.0481,0.9925,6.4296,5763.39,22.720673,75.858955
326,326513,140.63,-9,-6.294,0,0.3413,1,0.6629,0.854,GCM,0,0.7732,0.7797,6.448,5761.64,22.720742,75.859048
327,327515,136.94,-5,-5.906,0,0.2389,0,0.4641,0.8527,GCM,0,0.6264,0.6624,1.4175,968.48,22.720733,75.859033
328,328516,128.53,-7,-6.234,1,0.4672,0,0.4641,0.8519,GCM,0,1.0023,0.9571,4.7959,4191.72,22.720642,75.858965
329,329517,129.28,-12,-7.964,1,0.6271,0,0.4641,0.8465,GCM,0,1.4486,1.2877,6.4678,5761.12,22.720658,75.858967
330,330520,135.75,-6,-7.375,0,0.439,1,0.6248,0.8535,GCM,0,0.9443,0.9128,6.4751,5756.74,22.720677,75.858996
331,331522,141.62,0,-5.162,0,0.3073,0,0.4374,0.8354,GCM,0,0.7251,0.7432,1.6004,1128.33,22.720789,75.859093
332,332524,133.65,-9,-6.314,0,0.2151,0,0.3062,0.841,GCM,0,0.5979,0.6402,0.9252,600.75,22.720716,75.858979
333,333524,139.77,-2,-5.019,0,0.1506,0,0.2143,0.8417,GCM,0,0.5193,0.5756,0.6758,455.7,22.720764,75.859097
334,334526,144.26,-6,-5.314,0,0.1054,0,0.15,0.8469,GCM,0,0.467,0.5316,0.5374,384.39,22.7208,75.859103
335,335526,137.77,-10,-6.72,0,0.0738,1,0.405,0.8423,GCM,0,0.4336,0.5039,0.8669,551.64,22.720749,75.859037
336,336529,145.39,-8,-7.104,1,0.3516,0,0.405,0.8476,GCM,0,0.7909,0.7942,1.6553,1183.65,22.720808,75.859097
337,337530,145.84,-5,-6.473,0,0.2461,0,0.2835,0.8402,GCM,1,0.6385,0.6733,0.9375,611.94,22.720814,75.859124
338,338531,149.37,-2,-5.131,0,0.1723,0,0.1985,0.8427,GCM,0,0.5448,0.5965,0.6807,457.11,22.720828,75.859144
339,339533,147.04,-3,-4.492,0,0.1206,0,0.1985,0.8388,CTR,0,0.4857,0.5478,0.6181,275.14,22.720817,75.859121
340,340534,142.98,-6,-4.944,0,0.0844,0,0.1985,0.8438,CTR,0,0.4448,0.5132,0.5755,263.03,22.720796,75.85909
341,341535,153.89,-8,-5.861,1,0.3591,0,0.1985,0.8353,CTR,0,0.8055,0.8068,0.9803,378.15,22.720874,75.859177
342,342538,145.84,-6,-5.903,0,0.2514,0,0.1985,0.842,CTR,0,0.6451,0.6785,0.7907,323.92,22.720802,75.859125
343,343542,142.21,-5,-5.632,0,0.176,0,0.1985,0.8509,CTR,0,0.5476,0.5981,0.6834,291.76,22.72074,75.859118
344,344544,157.13,-6,-5.742,1,0.4232,0,0.1985,0.836,CTR,0,0.9176,0.8938,1.1266,418.76,22.720919,75.859253
345,345545,149.7,-7,-6.12,1,0.5962,0,0.1985,0.8487,CTR,0,1.3402,1.2087,1.8662,599.38,22.720832,75.859116
346,346545,156.54,-6,-6.084,1,0.7174,0,0.1985,0.8481,CTR,0,1.8784,1.5939,3.9701,855.3,22.720915,75.859251
347,347545,167.41,-9,-6.959,0,0.5021,0,0.1985,0.8395,CTR,0,1.0824,1.0189,1.3718,483.47,22.720986,75.859311
348,348547,152.29,-5,-6.371,1,0.6515,0,0.1985,0.849,CTR,0,1.545,1.3569,2.4182,694.74,22.720863,75.859175
349,349549,157.15,-4,-5.66,1,0.7561,0,0.1985,0.8514,CTR,0,2.1483,1.7828,6.3516,991.85,22.720882,75.859227
350,350551,153.39,-4,-5.162,0,0.5292,0,0.1985,0.8435,CTR,0,1.1479,1.0675,1.4824,512.69,22.720871,75.859181
351,351552,151.65,-6,-5.413,0,0.3705,0,0.1985,0.843,CTR,0,0.8227,0.8195,1.002,385.78,22.720881,75.859182
352,352553,169.62,-8,-6.189,1,0.5593,0,0.1985,0.8402,CTR,0,1.2295,1.1284,1.6323,550.32,22.721021,75.859372
353,353554,161.15,-7,-6.432,0,0.3915,0,0.1985,0.8408,CTR,0,0.8591,0.8482,1.0487,398.98,22.720918,75.859291
354,354555,171.14,-3,-5.403,0,0.2741,0,0.1985,0.8373,CTR,0,0.6771,0.7047,0.8271,333.52,22.721044,75.859358
355,355556,167.55,-5,-5.282,1,0.4918,0,0.1985,0.8441,CTR,0,1.0578,0.9999,1.3328,476.99,22.720976,75.85935
356,356557,170.56,-3,-4.597,0,0.3443,0,0.1985,0.8342,CTR,0,0.7819,0.7883,0.9511,369.93,22.721039,75.859368
357,357558,174.54,-5,-4.718,0,0.241,0,0.1985,0.8329,CTR,0,0.6332,0.6696,0.7775,318.71,22.721073,75.859387
358,358561,166.24,-8,-5.703,0,0.1687,0,0.1389,0.8402,GCM,0,0.541,0.5936,0.5955,415.57,22.720981,75.859325
359,359562,158.85,-5,-5.492,0,0.1181,0,0.1389,0.8409,CTR,0,0.4824,0.5449,0.5389,276.12,22.720962,75.859271
360,360563,164.74,-7,-5.944,1,0.3827,0,0.1389,0.8336,CTR,0,0.8452,0.838,0.9025,391.52,22.720956,75.859287
361,361563,167.34,-8,-6.561,0,0.2679,0,0.1389,0.8433,CTR,0,0.6673,0.6963,0.7195,330.08,22.721002,75.859333
362,362563,169.59,-8,-6.993,1,0.4875,0,0.1389,0.8334,CTR,1,1.0501,0.9951,1.1308,469.85,22.721043,75.859327
363,363565,188.67,-8,-7.295,0,0.3413,0,0.1389,0.836,CBC,0,0.7767,0.7841,0.8308,451.76,22.721208,75.859539
364,364566,181.6,-7,-7.206,0,0.2389,0,0.1389,0.8352,CBC,0,0.6299,0.6667,0.6826,389,22.721146,75.859505
365,365567,185.05,-2,-5.645,0,0.1672,0,0.1389,0.8364,CBC,0,0.54,0.5931,0.5947,356.76,22.721168,75.859481
366,366568,173.94,-4,-5.151,0,0.1171,0,0.1389,0.8331,CBC,0,0.4828,0.5459,0.5397,335.28,22.721048,75.859405
367,367569,173.94,-7,-5.706,0,0.0819,0,0.1389,0.8307,CBC,0,0.4447,0.5142,0.5033,323.23,22.721074,75.859366
368,368570,180.67,-2,-4.594,0,0.0574,0,0.1389,0.835,CBC,0,0.4177,0.491,0.4773,317.85,22.721122,75.859452
369,369571,180.49,-7,-5.316,1,0.3401,0,0.1389,0.8291,CBC,0,0.7764,0.7845,0.8307,451.65,22.721128,75.859441
370,370573,192.45,-9,-6.421,1,0.5381,0,0.1389,0.8243,CBC,0,1.1748,1.0894,1.2827,646.92,22.721228,75.859555
371,371574,182.46,-7,-6.595,0,0.3767,0,0.1389,0.8214,CBC,0,0.8375,0.8331,0.8947,477.17,22.72115,75.859443
372,372576,189.05,-9,-7.316,1,0.5637,0,0.1389,0.8295,CBC,0,1.2441,1.1402,1.3729,683.9,22.721203,75.859585
373,373576,192.34,-9,-7.821,1,0.6946,0,0.1389,0.8213,CBC,0,1.7541,1.5089,2.2153,974.32,22.721241,75.859564
374,374576,199.16,-6,-7.275,1,0.7862,0,0.1389,0.8258,CBC,0,2.4268,1.9791,4.4009,1390,22.721268,75.859648
375,375579,202.13,-7,-7.193,1,0.8503,0,0.1389,0.8219,CBC,0,3.3533,2.6167,6.3689,1986.86,22.721344,75.859677
376,376580,196.2,-10,-8.035,1,0.8952,0,0.1389,0.8281,CBC,0,4.6487,3.499,6.3921,2836.98,22.721271,75.859608
377,377582,207.35,-6,-7.424,0,0.6267,0,0.1389,0.8272,CBC,0,1.451,1.2914,1.6708,794.32,22.721378,75.859706
378,378584,205.25,-9,-7.897,1,0.7387,0,0.1389,0.833,GCM,0,2.0213,1.696,2.8656,2350.72,22.721353,75.859731
379,379584,212.12,-10,-8.528,1,0.8171,0,0.1389,0.8254,CBC,0,2.7944,2.233,6.3498,1623.26,22.721415,75.859754
380,380588,216.04,-11,-9.27,1,0.8719,0,0.1389,0.8207,CBC,0,3.8662,2.9672,6.3811,2322.58,22.721439,75.859803
381,381588,213.97,-6,-8.289,1,0.9104,0,0.1389,0.8215,CBC,0,5.3738,3.9921,6.402,3317.96,22.721408,75.859801
382,382589,212.64,-7,-7.902,0,0.6373,0,0.1389,0.8199,CBC,0,1.493,1.3225,1.737,818.95,22.721432,75.859778
383,383591,227.41,-11,-8.831,1,0.7461,0,0.1389,0.8255,CBC,0,2.0765,1.7354,3.0245,1171.83,22.721552,75.859923
384,384594,217.49,-6,-7.982,0,0.5223,0,0.1389,0.8192,CBC,0,1.1352,1.0604,1.2331,622.29,22.721458,75.859821
385,385596,226.92,-12,-9.187,1,0.6656,0,0.1389,0.8212,CBC,0,1.6121,1.4078,1.9405,890.2,22.721556,75.859896
386,386596,238.76,-12,-10.031,1,0.7659,0,0.1389,0.823,CBC,0,2.2361,1.847,3.5626,1267.83,22.721627,75.860054
387,387597,233.94,-11,-10.322,1,0.8361,0,0.1389,0.825,CBC,0,3.0875,2.4344,6.3604,1813.73,22.721619,75.85996
388,388599,233.7,-6,-9.025,1,0.8853,0,0.1389,0.8139,CBC,0,4.2785,3.2488,6.3901,2592.22,22.721604,75.859963
389,389601,237.23,-8,-8.718,1,0.9197,0,0.1389,0.8191,CBC,0,5.956,4.3873,6.4078,3702.62,22.721632,75.860019
390,390601,244.85,-10,-9.102,0,0.6438,0,0.1389,0.8175,CBC,0,1.5196,1.3419,1.7803,834.67,22.721688,75.860113
391,391604,246.67,-7,-8.472,0,0.4507,0,0.1389,0.8224,CBC,0,0.974,0.9384,1.0433,540.79,22.721715,75.860112
392,392606,249.5,-9,-8.63,1,0.6155,0,0.1389,0.8246,CBC,0,1.4107,1.2625,1.6087,771.61,22.721729,75.860143
393,393607,246.42,-12,-9.641,1,0.7308,0,0.1389,0.8159,CBC,0,1.971,1.6625,2.7224,1105.87,22.721706,75.860095
394,394608,250.26,-13,-10.649,1,0.8116,0,0.1389,0.8198,CBC,0,2.7218,2.1836,6.3481,1577.85,22.721777,75.860133
395,395608,260.87,-9,-10.154,1,0.8681,0,0.1389,0.8229,CBC,0,3.7626,2.8962,6.3785,2252.39,22.721847,75.860229
396,396610,252.57,-13,-11.008,1,0.9077,0,0.1389,0.8253,CBC,0,5.2271,3.8922,6.3996,3218.46,22.721784,75.860162
397,397614,263,-8,-10.106,1,0.9354,0,0.1389,0.8187,CBC,0,7.3055,5.3016,6.4165,4598.74,22.721847,75.860268
398,398615,265.39,-11,-10.374,1,0.9548,0,0.1389,0.8176,GCM,0,9.3274,6.6707,6.4274,5759.23,22.721888,75.860306
399,399617,266.04,-11,-10.562,1,0.9683,0,0.1389,0.8194,CBC,0,9.3344,6.6777,6.4344,5945.25,22.72188,75.860278
400,400619,270.47,-8,-9.793,1,0.9778,0,0.1389,0.8228,CBC,0,9.339,6.6821,6.4388,5944.02,22.721914,75.86033
401,401620,269.41,-11,-10.155,1,0.9845,0,0.1389,0.8215,CBC,0,9.3429,6.6861,6.4428,5942.66,22.721925,75.860352
402,402622,276.54,-11,-10.409,1,0.9891,0,0.1389,0.8156,CBC,0,9.3467,6.6901,6.4468,5943.97,22.721965,75.860382
403,403626,267.92,-19,-12.986,1,0.9924,0,0.1389,0.8199,CBC,0,9.3476,6.6908,6.4475,5944.45,22.721888,75.860307
404,404627,271.48,-6,-10.89,0,0.6947,0,0.1389,0.8144,CBC,0,1.756,1.511,2.2181,972.92,22.72192,75.860337
405,405628,285.24,-12,-11.223,0,0.4863,0,0.1389,0.8104,CBC,0,1.0521,0.9988,1.1331,577.05,22.722078,75.86046
406,406630,285.98,-16,-12.656,1,0.6404,0,0.1389,0.8177,CBC,0,1.5059,1.332,1.7577,826.33,22.722054,75.860473
407,407631,292.09,-10,-11.859,1,0.7483,0,0.1389,0.8228,CBC,0,2.0936,1.7476,3.0756,1180.57,22.722096,75.86055
408,408634,306.01,-12,-11.902,1,0.8238,0,0.1389,0.8182,CBC,0,2.8923,2.3011,6.3552,1686.87,22.722238,75.860695
409,409635,293.68,-13,-12.231,1,0.8767,0,0.1389,0.8156,CBC,0,4.0022,3.0604,6.3849,2409.68,22.722158,75.86056
410,410637,299.4,-17,-13.662,1,0.9137,0,0.1389,0.8137,CBC,0,5.5663,4.1237,6.4058,3442.46,22.722184,75.860596
411,411639,302.07,-15,-14.063,1,0.9396,0,0.1389,0.8179,CBC,0,7.7845,5.6259,6.419,4919.58,22.7222,75.860642
412,412641,291.04,-14,-14.044,1,0.9577,0,0.1389,0.8119,CBC,0,9.3301,6.6738,6.4304,5943.93,22.722119,75.860547
413,413641,304.37,-16,-14.631,1,0.9704,0,0.1389,0.8216,CBC,0,9.3351,6.6783,6.435,5946.01,22.722232,75.860654
414,414643,300.69,-7,-12.342,1,0.9793,0,0.1389,0.8122,CBC,0,9.3419,6.6855,6.4422,5944.67,22.722203,75.860652
415,415643,310.52,-12,-12.239,1,0.9855,0,0.1389,0.8178,CBC,0,9.3442,6.6876,6.4442,5939.88,22.722288,75.860725
416,416643,311.39,-10,-11.567,1,0.9898,0,0.1389,0.8136,CBC,0,9.3475,6.691,6.4477,5947.13,22.722294,75.860712
417,417644,325.37,-14,-12.297,1,0.9929,0,0.1389,0.8113,CBC,0,9.3496,6.6933,6.4499,5943.28,22.722447,75.860864
418,418646,306.52,-16,-13.408,1,0.995,0,0.1389,0.8083,GCM,0,9.3514,6.6952,6.4518,5759.19,22.722265,75.860678
419,419648,311.56,-14,-13.586,1,0.9965,0,0.1389,0.8195,CBC,0,9.3499,6.6932,6.4499,5941.28,22.722291,75.860732
