Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost
239,0,25.34,0.0,22.7595,75.8256,9,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
240,0,25.77,0.0,22.7595,75.8256,8,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
241,0,25.99,0.0,22.7595,75.8256,6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3441
242,0,25.44,0.0,22.7595,75.8256,4,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.344
243,0,25.43,0.0,22.7595,75.8256,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3439
244,0,26.0,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3439
245,0,25.72,0.0,22.7595,75.8256,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3438
246,0,25.85,0.0,22.7595,75.8256,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3437
247,0,25.77,0.0,22.7595,75.8256,2,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3437
248,0,25.95,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3436
249,0,25.95,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3435
250,0,26.0,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
251,0,25.56,0.0,22.7595,75.8256,2,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
252,0,25.41,0.0,22.7595,75.8256,0,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3433
253,0,26.17,0.0,22.7595,75.8256,0,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3432
254,0,26.13,0.0,22.7595,75.8256,1,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3432
255,0,25.34,0.0,22.7595,75.8256,1,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3454
256,0,25.64,0.0,22.7595,75.8256,1,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3454
257,0,26.01,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3453
258,0,25.94,0.0,22.7595,75.8256,-2,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3452
259,0,25.61,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.032,0.0,1.0,CTR,0.3451
260,0,25.83,0.0,22.7595,75.8256,1,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3451
261,0,26.24,0.0,22.7595,75.8256,0,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.345
262,0,26.1,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
263,0,25.63,0.0,22.7595,75.8256,2,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3449
264,0,25.92,0.0,22.7595,75.8256,2,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3448
265,0,25.8,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3447
266,0,25.77,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3446
267,0,25.81,0.0,22.7595,75.8256,4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3446
268,0,26.29,0.0,22.7595,75.8256,3,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3445
269,0,25.97,0.0,22.7595,75.8256,2,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3444
270,0,25.39,0.0,22.7595,75.8255,4,0.031,0.0,BestEffort,0.031,0.0,1.0,CTR,0.3444
271,0,25.92,0.0,22.7595,75.8255,3,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3443
272,0,25.47,0.0,22.7595,75.8255,-1,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
273,0,25.91,0.0,22.7594,75.8255,0,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3442
274,0,26.12,0.0,22.7594,75.8255,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3441
275,0,26.21,0.0,22.7594,75.8255,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.344
276,0,25.7,0.0,22.7594,75.8255,5,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.344
277,0,26.16,0.0,22.7594,75.8255,6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3439
278,0,25.33,0.0,22.7594,75.8255,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3438
279,0,25.62,0.0,22.7594,75.8255,6,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3438
280,0,26.29,0.0,22.7594,75.8255,7,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3437
281,0,25.52,0.0,22.7595,75.8255,9,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3436
282,0,25.94,0.0,22.7595,75.8255,9,0.031,0.0,BestEffort,0.03,0.0,1.0,CTR,0.3436
283,0,26.13,0.0,22.7595,75.8255,9,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3435
284,0,25.42,0.0,22.7595,75.8255,8,0.031,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
285,0,26.07,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3434
286,0,25.83,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3433
287,0,25.7,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3433
288,0,25.54,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3432
289,0,25.51,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3431
290,0,26.29,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3431
291,0,26.14,0.0,22.7595,75.8255,9,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.343
292,0,26.12,0.0,22.7595,75.8255,7,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.343
293,0,26.28,0.0,22.7595,75.8255,7,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3429
294,0,25.36,0.0,22.7595,75.8255,7,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3428
295,0,25.42,0.0,22.7595,75.8255,1,0.027,0.0,BestEffort,0.029,0.0,1.0,CTR,0.3428
296,0,26.0,0.0,22.7595,75.8255,5,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3427
297,0,25.52,0.0,22.7595,75.8255,6,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3427
298,0,25.39,0.0,22.7595,75.8255,3,0.027,0.0,BestEffort,0.028,0.0,1.0,CTR,0.3426
299,0,25.79,0.0,22.7595,75.8255,-5,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3467
300,0,25.63,0.0,22.7595,75.8255,0,0.035,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3466
301,0,26.18,0.0,22.7592,75.8256,1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3465
302,0,25.48,0.0,22.7592,75.8256,2,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3465
303,0,25.82,0.0,22.7592,75.8255,5,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3464
304,0,25.42,0.0,22.7592,75.8255,4,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3463
305,0,25.87,0.0,22.7591,75.8256,5,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3463
306,0,25.57,0.0,22.7591,75.8256,1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3462
307,0,26.24,0.0,22.7591,75.8256,-2,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3461
308,0,25.57,0.0,22.7591,75.8256,1,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.3461
309,0,25.72,0.0,22.7591,75.8256,-2,0.031,0.0,BestEffort,0.033,0.0,1.0,CTR,0.346
310,0,25.75,0.0,22.7592,75.8255,-3,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.348
311,0,25.63,0.0,22.7592,75.8255,-6,0.035,0.0,BestEffort,0.035,0.0,1.0,CTR,0.3479
312,0,25.4,0.0,22.7592,75.8255,-4,0.039,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3498
313,0,25.39,0.0,22.7592,75.8255,-6,0.035,0.0,BestEffort,0.037,0.0,1.0,CTR,0.3497
314,0,26.25,0.0,22.7592,75.8255,-4,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3517
315,0,25.8,0.0,22.7592,75.8255,0,0.039,0.0,BestEffort,0.04,0.0,1.0,CTR,0.3516
316,0,25.9,0.0,22.7592,75.8256,2,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3515
317,0,25.68,0.0,22.7593,75.8255,0,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3514
318,0,26.17,0.0,22.7593,75.8256,-5,0.039,0.0,BestEffort,0.039,0.0,1.0,CTR,0.3514
319,0,26.03,0.0,22.7593,75.8256,-6,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3553
320,0,26.14,0.0,22.7593,75.8256,-3,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3552
321,0,26.06,0.0,22.7593,75.8256,-1,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.3551
322,0,26.26,0.0,22.7593,75.8256,-5,0.043,0.0,BestEffort,0.044,0.0,1.0,CTR,0.355
323,0,25.78,0.0,22.7593,75.8256,-5,0.047,0.0,BestEffort,0.046,0.0,1.0,CTR,0.3569
324,0,26.15,0.0,22.7593,75.8256,-4,0.047,0.0,BestEffort,0.048,0.0,1.0,CTR,0.3588
325,0,25.75,0.0,22.7592,75.8256,-5,0.055,0.0,BestEffort,0.053,0.0,1.0,CTR,0.3626
326,0,25.95,0.0,22.7592,75.8256,-5,0.051,0.0,BestEffort,0.053,0.0,1.0,CTR,0.3625
327,0,26.16,0.0,22.7592,75.8256,-8,0.059,0.0,BestEffort,0.058,0.0,1.0,CTR,0.3663
328,0,25.36,0.0,22.7592,75.8256,-6,0.062,0.0,BestEffort,0.065,0.0,1.0,CTR,0.3721
329,0,25.33,0.0,22.7592,75.8256,-9,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.372
330,0,26.21,0.0,22.7593,75.8256,-6,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3718
331,0,26.0,0.0,22.7593,75.8256,-7,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3717
332,0,25.87,0.0,22.7593,75.8256,-6,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3716
333,0,25.42,0.0,22.7593,75.8256,-7,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3715
334,0,25.57,0.0,22.7593,75.8256,-7,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3713
335,0,25.48,0.0,22.7593,75.8256,-6,0.062,0.0,BestEffort,0.064,0.0,1.0,CTR,0.3712
336,0,25.51,0.0,22.7593,75.8256,-7,0.062,0.0,BestEffort,0.063,0.0,1.0,CTR,0.3711
337,0,25.48,0.0,22.7592,75.8256,-8,0.082,0.0,BestEffort,0.082,0.0,1.0,CTR,0.3865
338,0,25.79,0.0,22.7592,75.8256,-8,0.082,0.0,BestEffort,0.082,0.0,1.0,CTR,0.3864
339,0,25.32,0.0,22.7592,75.8256,-3,0.082,0.0,BestEffort,0.082,0.0,1.0,CTR,0.3862
340,0,25.33,0.0,22.7593,75.8256,-4,0.082,0.0,BestEffort,0.081,0.0,1.0,CTR,0.386
341,0,26.04,0.0,22.7593,75.8256,0,0.082,0.0,BestEffort,0.081,0.0,1.0,CTR,0.3859
342,0,25.39,0.0,22.7593,75.8256,-4,0.082,0.0,BestEffort,0.081,0.0,1.0,CTR,0.3857
343,0,26.21,0.0,22.7593,75.8256,1,0.082,0.0,BestEffort,0.081,0.0,1.0,CTR,0.3856
344,0,26.09,0.0,22.7593,75.8256,0,0.082,0.0,BestEffort,0.081,0.0,1.0,CTR,0.3854
345,0,25.64,0.0,22.7593,75.8256,-3,0.082,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3853
346,0,26.01,0.0,22.7593,75.8256,-5,0.078,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3851
347,0,25.9,0.0,22.7594,75.8256,-6,0.078,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3849
348,0,26.19,0.0,22.7594,75.8256,-4,0.078,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3848
349,0,25.42,0.0,22.7595,75.8256,1,0.078,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3846
350,0,26.14,0.0,22.7595,75.8256,1,0.078,0.0,BestEffort,0.08,0.0,1.0,CTR,0.3845
351,0,25.46,0.0,22.7595,75.8256,5,0.078,0.0,BestEffort,0.079,0.0,1.0,CTR,0.3843
352,0,25.89,0.0,22.7595,75.8256,-2,0.078,0.0,BestEffort,0.079,0.0,1.0,CTR,0.3842
353,0,25.77,0.0,22.7595,75.8256,9,0.078,0.0,BestEffort,0.079,0.0,1.0,CTR,0.384
354,0,25.68,0.0,22.7595,75.8256,10,0.078,0.0,BestEffort,0.079,0.0,1.0,CTR,0.3839
355,0,26.24,0.0,22.7596,75.8256,9,0.078,0.0,BestEffort,0.079,0.0,1.0,CTR,0.3837
356,0,25.77,0.0,22.7596,75.8256,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3836
357,0,25.41,0.0,22.7596,75.8256,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3835
358,0,25.54,0.0,22.7597,75.8255,10,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3833
359,0,25.61,0.0,22.7597,75.8255,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3832
360,0,25.8,0.0,22.7598,75.8255,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.383
361,0,25.86,0.0,22.7598,75.8255,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3829
362,0,25.87,0.0,22.7599,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3827
363,0,25.72,0.0,22.7599,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3826
364,0,26.22,0.0,22.76,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3824
365,0,25.76,0.0,22.76,75.8255,10,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3823
366,0,26.29,0.0,22.7601,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3822
367,0,25.96,0.0,22.7601,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.382
368,0,25.35,0.0,22.7601,75.8255,10,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3819
369,0,25.49,0.0,22.7601,75.8255,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3818
370,0,25.86,0.0,22.7601,75.8255,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3816
371,0,26.01,0.0,22.7601,75.8255,10,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3815
372,0,25.76,0.0,22.7601,75.8255,10,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3813
373,0,26.09,0.0,22.7601,75.8255,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3812
374,0,25.48,0.0,22.7597,75.8255,10,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3811
375,0,25.35,0.0,22.7596,75.8255,9,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3809
376,0,25.87,0.0,22.7596,75.8255,9,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3808
377,0,26.13,0.0,22.7596,75.8256,10,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3807
378,0,26.12,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3805
379,0,25.34,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3804
380,0,25.52,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3803
381,0,25.55,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3801
382,0,25.55,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.38
383,0,25.92,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3799
384,0,25.67,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3797
385,0,26.13,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3796
386,0,25.81,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3795
387,0,25.49,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3794
388,0,26.26,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3792
389,0,25.95,0.0,22.7595,75.8256,9,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3791
390,0,25.98,0.0,22.7595,75.8256,10,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.379
391,0,26.07,0.0,22.7595,75.8256,8,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3789
392,0,25.31,0.0,22.7595,75.8256,4,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3787
393,0,25.37,0.0,22.7595,75.8256,9,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3786
394,0,26.2,0.0,22.7594,75.8256,7,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3785
395,0,25.86,0.0,22.7595,75.8256,8,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3784
396,0,25.55,0.0,22.7594,75.8256,-4,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3782
397,0,25.53,0.0,22.7594,75.8256,2,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3781
398,0,25.68,0.0,22.7594,75.8256,0,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.378
399,0,25.87,0.0,22.7594,75.8256,5,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3779
400,0,26.27,0.0,22.7594,75.8256,7,0.07,0.0,BestEffort,0.071,0.0,1.0,CTR,0.3777
401,0,25.46,0.0,22.7594,75.8256,6,0.07,0.0,BestEffort,0.071,0.0,1.0,CTR,0.3776
402,0,25.64,0.0,22.7594,75.8256,0,0.07,0.0,BestEffort,0.071,0.0,1.0,CTR,0.3775
403,0,26.09,0.0,22.7594,75.8256,0,0.07,0.0,BestEffort,0.071,0.0,1.0,CTR,0.3774
404,0,25.83,0.0,22.7594,75.8256,-5,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3789
405,0,25.92,0.0,22.7594,75.8256,-6,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3788
406,0,25.59,0.0,22.7594,75.8256,-5,0.074,0.0,BestEffort,0.073,0.0,1.0,CTR,0.3787
407,0,25.47,0.0,22.7595,75.8256,-1,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3786
408,0,25.93,0.0,22.7594,75.8256,-2,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3785
409,0,25.32,0.0,22.7594,75.8256,0,0.07,0.0,BestEffort,0.072,0.0,1.0,CTR,0.3783
410,0,25.52,0.0,22.7594,75.8256,-2,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3799
411,0,25.4,0.0,22.7594,75.8256,-3,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3798
412,0,25.86,0.0,22.7594,75.8256,-1,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3796
413,0,25.97,0.0,22.7594,75.8256,-3,0.074,0.0,BestEffort,0.074,0.0,1.0,CTR,0.3795
414,0,26.25,0.0,22.7594,75.8256,-9,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.381
415,0,25.43,0.0,22.7594,75.8256,-5,0.074,0.0,BestEffort,0.075,0.0,1.0,CTR,0.3809
416,0,25.8,0.0,22.7594,75.8256,-5,0.082,0.0,BestEffort,0.083,0.0,1.0,CTR,0.3874
417,0,25.75,0.0,22.7594,75.8256,-5,0.082,0.0,BestEffort,0.083,0.0,1.0,CTR,0.3872
418,0,25.91,0.0,22.7594,75.8256,-5,0.082,0.0,BestEffort,0.083,0.0,1.0,CTR,0.3871
419,0,26.05,0.0,22.7594,75.8256,-5,0.082,0.0,BestEffort,0.083,0.0,1.0,CTR,0.387
420,0,25.39,0.0,22.7594,75.8256,-2,0.086,0.0,BestEffort,0.086,0.0,1.0,CTR,0.3901
421,0,26.19,0.0,22.7594,75.8256,-2,0.086,0.0,BestEffort,0.086,0.0,1.0,CTR,0.39
422,0,25.69,0.0,22.7594,75.8256,2,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3915
423,0,25.34,0.0,22.7594,75.8256,0,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3913
424,0,25.78,0.0,22.7594,75.8256,1,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3912
425,0,25.57,0.0,22.7594,75.8256,0,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.391
426,0,26.04,0.0,22.7594,75.8256,-3,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3909
427,0,25.69,0.0,22.7594,75.8256,-2,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3908
428,0,25.63,0.0,22.7594,75.8256,2,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3906
429,0,25.44,0.0,22.7594,75.8256,0,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3905
430,0,25.71,0.0,22.7594,75.8256,0,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3903
431,0,25.97,0.0,22.7594,75.8256,0,0.09,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3918
432,0,26.21,0.0,22.7594,75.8256,8,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3917
433,0,25.89,0.0,22.7594,75.8256,7,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3915
434,0,26.04,0.0,22.7594,75.8256,-5,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3914
435,0,25.36,0.0,22.7594,75.8256,9,0.086,0.0,BestEffort,0.088,0.0,1.0,CTR,0.3912
436,0,25.4,0.0,22.7595,75.8256,8,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3911
437,0,25.63,0.0,22.7595,75.8256,9,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.391
438,0,25.42,0.0,22.7594,75.8256,10,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3908
439,0,26.13,0.0,22.7595,75.8256,10,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3907
440,0,26.17,0.0,22.7594,75.8256,10,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3905
441,0,25.47,0.0,22.7594,75.8256,10,0.086,0.0,BestEffort,0.087,0.0,1.0,CTR,0.3904
442,0,26.14,0.0,22.7595,75.8256,10,0.086,0.0,BestEffort,0.086,0.0,1.0,CTR,0.3903
443,0,26.01,0.0,22.7595,75.8256,9,0.086,0.0,BestEffort,0.086,0.0,1.0,CTR,0.3901
444,0,26.02,0.0,22.7595,75.8256,9,0.086,0.0,BestEffort,0.086,0.0,1.0,CTR,0.39
445,0,25.72,0.0,22.7593,75.8257,10,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3832
446,0,25.37,0.0,22.7593,75.8257,9,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3831
447,0,25.99,0.0,22.7593,75.8257,10,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.383
448,0,25.8,0.0,22.7592,75.8257,10,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3829
449,0,26.23,0.0,22.7592,75.8257,8,0.078,0.0,BestEffort,0.078,0.0,1.0,CTR,0.3828
450,0,25.48,0.0,22.7592,75.8257,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3827
451,0,25.73,0.0,22.7592,75.8257,10,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3826
452,0,26.1,0.0,22.7592,75.8257,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3825
453,0,25.35,0.0,22.7592,75.8257,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3824
454,0,25.35,0.0,22.7592,75.8257,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3823
455,0,26.19,0.0,22.7592,75.8257,0,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3822
456,0,26.04,0.0,22.7592,75.8257,8,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3821
457,0,25.96,0.0,22.7593,75.8257,8,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.382
458,0,25.72,0.0,22.7593,75.8257,10,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3819
459,0,25.43,0.0,22.7593,75.8257,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3818
460,0,26.04,0.0,22.7593,75.8257,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3817
461,0,25.47,0.0,22.7593,75.8257,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3816
462,0,25.3,0.0,22.7593,75.8256,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3815
463,0,25.51,0.0,22.7593,75.8256,9,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3814
464,0,25.83,0.0,22.7594,75.8256,10,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3813
465,0,25.45,0.0,22.7594,75.8255,8,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3812
466,0,25.75,0.0,22.7595,75.8255,8,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3811
467,0,25.69,0.0,22.7595,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3823
468,0,25.49,0.0,22.7595,75.8255,9,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3822
469,0,26.23,0.0,22.7595,75.8255,8,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.3821
470,0,25.44,0.0,22.7596,75.8255,8,0.078,0.0,BestEffort,0.077,0.0,1.0,CTR,0.382
471,0,25.57,0.0,22.7596,75.8255,7,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3819
472,0,26.29,0.0,22.7596,75.8254,8,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3818
473,0,25.94,0.0,22.7596,75.8254,4,0.074,0.0,BestEffort,0.076,0.0,1.0,CTR,0.3817
