Sequence,Mode,Temperature,Pressure,Latitude,Longitude,SNR,PER,AuthFail,Policy,PerRadio,PerAuth,Battery,SelectedMode,Cost,Energy_per_packet_J
198,0,25.95,1013.24,22.719648,75.857672,-7,0.031,0.1672,BestEffort,0.031,0.1672,0.7563,CTR,0.3935,0.01695975232
199,0,25.75,1013,22.719582,75.857669,-5,0.031,0.1356,BestEffort,0.031,0.1356,0.7551,CTR,0.3937,0.01695975232
200,0,26,1013.76,22.719576,75.857766,-5,0.031,0.1347,BestEffort,0.031,0.1347,0.7538,CTR,0.394,0.01695975232
201,0,25.33,1015.36,22.719645,75.857717,-5,0.031,0.1387,BestEffort,0.031,0.1387,0.7526,CTR,0.3942,0.01695975232
202,0,25.33,1013.39,22.719602,75.857689,-5,0.031,0.1308,BestEffort,0.031,0.1308,0.7514,CTR,0.3944,0.01695975232
203,0,26.16,1014.22,22.719614,75.857725,-8,0.031,0.1806,BestEffort,0.031,0.1806,0.7502,CTR,0.3947,0.01695975232
204,0,26.28,1010.17,22.719601,75.857595,-8,0.031,0.1871,BestEffort,0.031,0.1871,0.7489,CTR,0.3949,0.01695975232
205,0,25.8,1013.18,22.719617,75.857698,-7,0.031,0.172,BestEffort,0.031,0.172,0.7477,CTR,0.3952,0.01695975232
206,0,25.92,1011.99,22.719621,75.8578,-6,0.031,0.1537,BestEffort,0.03,0.1537,0.7465,CTR,0.3946,0.01695975232
207,0,25.49,1011.42,22.719503,75.857707,-7,0.035,0.165,BestEffort,0.034,0.165,0.7452,CTR,0.3981,0.01703005181
208,0,25.98,1011.93,22.719633,75.857703,-4,0.035,0.1214,BestEffort,0.034,0.1214,0.744,CTR,0.3983,0.01703005181
209,0,25.98,1012.75,22.719551,75.857727,-8,0.035,0.1823,BestEffort,0.033,0.1823,0.7428,CTR,0.3978,0.01703005181
210,0,25.65,1014.62,22.719528,75.857745,-2,0.035,0.0814,BestEffort,0.033,0.0814,0.7415,CTR,0.398,0.01703005181
211,0,26.24,1011.26,22.719597,75.8576,-1,0.031,0.0623,BestEffort,0.033,0.0623,0.7403,CTR,0.3983,0.01695975232
212,0,25.43,1013.3,22.719604,75.857616,1,0.031,0.0446,BestEffort,0.033,0.0446,0.7391,CTR,0.3985,0.01695975232
213,0,26.19,1012.52,22.719565,75.857711,-2,0.031,0.0872,BestEffort,0.033,0.0872,0.7378,CTR,0.3988,0.01695975232
214,0,25.89,1012.76,22.719642,75.857664,-1,0.031,0.07,BestEffort,0.033,0.07,0.7366,CTR,0.399,0.01695975232
215,0,25.63,1014.75,22.719533,75.857766,-2,0.031,0.0902,BestEffort,0.033,0.0902,0.7354,CTR,0.3993,0.01695975232
216,0,25.7,1014.06,22.71958,75.857684,0,0.031,0.0556,BestEffort,0.033,0.0556,0.7342,CTR,0.3995,0.01695975232
217,0,26.16,1015.26,22.719571,75.857603,0,0.031,0.0466,BestEffort,0.033,0.0466,0.7329,CTR,0.3998,0.01695975232
218,0,25.55,1013.02,22.719598,75.857637,0,0.031,0.0485,BestEffort,0.032,0.0485,0.7317,CTR,0.3992,0.01695975232
219,0,25.47,1012.21,22.719614,75.857563,1,0.031,0.0408,BestEffort,0.032,0.0408,0.7305,CTR,0.3994,0.01695975232
220,0,25.59,1012.91,22.71955,75.857688,3,0.031,0.0243,BestEffort,0.032,0.0243,0.7292,CTR,0.3997,0.01695975232
221,0,25.73,1013.61,22.719636,75.857691,3,0.031,0.0238,BestEffort,0.032,0.0238,0.728,CTR,0.3999,0.01695975232
222,0,25.58,1013.51,22.719603,75.857679,4,0.031,0.0174,BestEffort,0.032,0.0174,0.7268,CTR,0.4002,0.01695975232
223,0,25.99,1011.62,22.719505,75.857754,4,0.031,0.0156,BestEffort,0.032,0.0156,0.7255,CTR,0.4004,0.01695975232
224,0,26.07,1013.39,22.719502,75.85776,5,0.031,0.0107,BestEffort,0.032,0.0107,0.7243,CTR,0.4007,0.01695975232
225,0,25.93,1013.59,22.719599,75.857691,6,0.031,0.0006,BestEffort,0.032,0.0006,0.7231,CTR,0.4009,0.01695975232
226,0,25.97,1017.03,22.719589,75.857593,6,0.031,0.0009,BestEffort,0.032,0.0009,0.7218,CTR,0.4012,0.01695975232
227,0,26.29,1016.07,22.719595,75.857731,4,0.031,0.019,BestEffort,0.032,0.019,0.7206,CTR,0.4014,0.01695975232
228,0,25.4,1011.97,22.719599,75.857728,5,0.031,0.0112,BestEffort,0.031,0.0112,0.7194,CTR,0.4008,0.01695975232
229,0,25.99,1012.82,22.719611,75.857715,-4,0.031,0.1161,BestEffort,0.031,0.1161,0.7182,CTR,0.4011,0.01695975232
230,0,25.67,1011.05,22.719647,75.857749,-2,0.031,0.0946,BestEffort,0.031,0.0946,0.7169,CTR,0.4013,0.01695975232
231,0,25.98,1012.36,22.719544,75.857642,7,0.031,0.0008,BestEffort,0.031,0.0008,0.7157,CTR,0.4016,0.01695975232
232,0,26.28,1013.72,22.719541,75.8578,4,0.031,0.0143,BestEffort,0.031,0.0143,0.7145,CTR,0.4018,0.01695975232
233,0,25.98,1015.06,22.719545,75.857652,3,0.031,0.024,BestEffort,0.031,0.024,0.7132,CTR,0.4021,0.01695975232
234,0,26.06,1012.16,22.719614,75.857737,4,0.031,0.0145,BestEffort,0.031,0.0145,0.712,CTR,0.4023,0.01695975232
235,0,25.77,1012.27,22.719662,75.857616,7,0.031,0.0009,BestEffort,0.031,0.0009,0.7108,CTR,0.4026,0.01695975232
236,2,25.4,1010.03,22.719578,75.857653,7,0.031,0.0006,BestEffort,0.031,0.0006,0.7095,GCM,0.4757,0.01695975232
237,2,25.77,1013.01,22.719475,75.857776,8,0.031,0.0007,BestEffort,0.031,0.0007,0.7083,GCM,0.476,0.01695975232
238,2,26.05,1011.66,22.719515,75.857687,9,0.031,0.0007,BestEffort,0.03,0.0007,0.7071,GCM,0.4755,0.01695975232
239,2,25.34,1012.46,22.719558,75.857742,9,0.031,0.0008,BestEffort,0.03,0.0008,0.7058,GCM,0.4759,0.01695975232
240,2,25.77,1011.93,22.719572,75.857712,8,0.031,0.0006,BestEffort,0.03,0.0006,0.7046,GCM,0.476,0.01695975232
241,2,25.99,1013.11,22.71958,75.857695,6,0.031,0.0005,BestEffort,0.03,0.0005,0.7034,GCM,0.4762,0.01695975232
242,2,25.44,1010.61,22.719602,75.857768,4,0.031,0.016,BestEffort,0.03,0.016,0.7022,GCM,0.4898,0.01695975232
243,2,25.43,1011.05,22.719584,75.857688,5,0.031,0.0101,BestEffort,0.03,0.0101,0.7009,GCM,0.485,0.01695975232
244,2,26,1016.44,22.719652,75.857611,3,0.031,0.0263,BestEffort,0.03,0.0263,0.6997,GCM,0.4993,0.01695975232
245,2,25.72,1011.32,22.719566,75.85766,5,0.031,0.0063,BestEffort,0.03,0.0063,0.6985,GCM,0.4823,0.01695975232
246,2,25.85,1011.6,22.719557,75.857728,5,0.031,0.0096,BestEffort,0.03,0.0096,0.6972,GCM,0.4854,0.01695975232
247,2,25.77,1016.01,22.719624,75.85772,2,0.031,0.034,BestEffort,0.03,0.034,0.696,GCM,0.5069,0.01695975232
248,2,25.95,1017.61,22.719523,75.857622,0,0.031,0.0496,BestEffort,0.03,0.0496,0.6948,GCM,0.5209,0.01695975232
249,2,25.95,1011.49,22.719619,75.857664,0,0.031,0.0484,BestEffort,0.029,0.0484,0.6935,GCM,0.5193,0.01695975232
250,2,26,1012.7,22.719605,75.857671,0,0.031,0.0489,BestEffort,0.029,0.0489,0.6923,GCM,0.52,0.01695975232
251,2,25.56,1013.76,22.719593,75.857682,2,0.027,0.0336,BestEffort,0.029,0.0336,0.6911,GCM,0.5068,0.01689003083
252,2,25.41,1015.84,22.719679,75.857631,0,0.027,0.0502,BestEffort,0.029,0.0502,0.6898,GCM,0.5217,0.01689003083
253,2,26.17,1011.77,22.719569,75.857669,0,0.027,0.0512,BestEffort,0.029,0.0512,0.6886,GCM,0.5229,0.01689003083
254,2,26.13,1012.88,22.719703,75.857664,1,0.027,0.0442,BestEffort,0.029,0.0442,0.6874,GCM,0.517,0.01689003083
255,2,25.34,1014.42,22.719589,75.857739,1,0.031,0.0414,BestEffort,0.032,0.0414,0.6862,GCM,0.5175,0.01695975232
256,2,25.64,1013.9,22.719536,75.85774,1,0.031,0.0411,BestEffort,0.032,0.0411,0.6849,GCM,0.5175,0.01695975232
257,0,26.01,1012.69,22.719603,75.857693,0,0.031,0.0509,BestEffort,0.032,0.0509,0.6837,CTR,0.4088,0.01695975232
258,0,25.94,1013.05,22.719546,75.85768,-2,0.031,0.0871,BestEffort,0.032,0.0871,0.6825,CTR,0.409,0.01695975232
259,0,25.61,1011.19,22.719562,75.857707,0,0.031,0.0491,BestEffort,0.032,0.0491,0.6812,CTR,0.4093,0.01695975232
260,0,25.83,1012.89,22.71962,75.857659,1,0.031,0.0436,BestEffort,0.031,0.0436,0.68,CTR,0.4087,0.01695975232
261,0,26.24,1012.85,22.719628,75.857643,0,0.031,0.052,BestEffort,0.031,0.052,0.6788,CTR,0.409,0.01695975232
262,0,26.1,1013.6,22.719569,75.857653,3,0.031,0.0286,BestEffort,0.031,0.0286,0.6775,CTR,0.4092,0.01695975232
263,0,25.63,1012.42,22.719649,75.857668,2,0.031,0.0376,BestEffort,0.031,0.0376,0.6763,CTR,0.4095,0.01695975232
264,0,25.92,1013.96,22.719658,75.857642,2,0.031,0.0323,BestEffort,0.031,0.0323,0.6751,CTR,0.4097,0.01695975232
265,0,25.8,1014.77,22.719672,75.857708,3,0.031,0.026,BestEffort,0.031,0.026,0.6738,CTR,0.41,0.01695975232
266,0,25.77,1013.48,22.719626,75.857736,3,0.031,0.026,BestEffort,0.031,0.026,0.6726,CTR,0.4102,0.01695975232
267,0,25.81,1013.78,22.719668,75.857621,4,0.031,0.0178,BestEffort,0.031,0.0178,0.6714,CTR,0.4104,0.01695975232
268,0,26.29,1013.33,22.719506,75.857701,3,0.031,0.0247,BestEffort,0.031,0.0247,0.6702,CTR,0.4107,0.01695975232
269,0,25.97,1013.25,22.719584,75.857689,2,0.031,0.031,BestEffort,0.031,0.031,0.6689,CTR,0.4109,0.01695975232
270,0,25.39,1012.17,22.719557,75.857717,4,0.031,0.0182,BestEffort,0.031,0.0182,0.6677,CTR,0.4112,0.01695975232
271,0,25.92,1013.72,22.719606,75.857699,3,0.031,0.0245,BestEffort,0.03,0.0245,0.6665,CTR,0.4106,0.01695975232
272,0,25.47,1013.1,22.719571,75.857627,-1,0.031,0.0674,BestEffort,0.03,0.0674,0.6652,CTR,0.4109,0.01695975232
273,0,25.91,1016.39,22.719592,75.857637,0,0.031,0.0484,BestEffort,0.03,0.0484,0.664,CTR,0.4111,0.01695975232
274,0,26.12,1015.61,22.719694,75.857701,5,0.031,0.0078,BestEffort,0.03,0.0078,0.6628,CTR,0.4114,0.01695975232
275,0,26.21,1013.83,22.719592,75.857751,7,0.031,0.0005,BestEffort,0.03,0.0005,0.6615,CTR,0.4116,0.01695975232
276,0,25.7,1012.11,22.719621,75.857589,5,0.031,0.0103,BestEffort,0.03,0.0103,0.6603,CTR,0.4119,0.01695975232
277,0,26.16,1011.58,22.719588,75.857717,6,0.031,0.0006,BestEffort,0.03,0.0006,0.6591,CTR,0.4121,0.01695975232
278,2,25.33,1015.04,22.719604,75.857759,7,0.031,0.0009,BestEffort,0.03,0.0009,0.6578,GCM,0.4874,0.01695975232
279,2,25.62,1013.64,22.7196,75.857692,6,0.031,0.0008,BestEffort,0.03,0.0008,0.6566,GCM,0.4876,0.01695975232
280,2,26.29,1013.97,22.719622,75.857728,7,0.031,0.0007,BestEffort,0.03,0.0007,0.6554,GCM,0.4878,0.01695975232
281,2,25.52,1010.63,22.719658,75.857665,9,0.031,0.0006,BestEffort,0.03,0.0006,0.6542,GCM,0.488,0.01695975232
282,2,25.94,1014.64,22.719682,75.857694,9,0.031,0.0007,BestEffort,0.03,0.0007,0.6529,GCM,0.4883,0.01695975232
283,2,26.13,1013.93,22.719615,75.857619,9,0.031,0.0009,BestEffort,0.029,0.0009,0.6517,GCM,0.488,0.01695975232
284,2,25.42,1011.58,22.719629,75.857583,8,0.031,0.0006,BestEffort,0.029,0.0006,0.6505,GCM,0.488,0.01695975232
285,2,26.07,1012.54,22.719542,75.857747,9,0.027,0.0005,BestEffort,0.029,0.0005,0.6492,GCM,0.4882,0.01689003083
286,2,25.83,1013.65,22.719596,75.857651,9,0.027,0.0009,BestEffort,0.029,0.0009,0.648,GCM,0.4888,0.01689003083
287,2,25.7,1013.33,22.719647,75.857677,9,0.027,0.0009,BestEffort,0.029,0.0009,0.6468,GCM,0.4891,0.01689003083
288,2,25.54,1012.81,22.719643,75.857631,9,0.027,0.0006,BestEffort,0.029,0.0006,0.6455,GCM,0.4892,0.01689003083
289,2,25.51,1013.09,22.719611,75.85763,9,0.027,0.0006,BestEffort,0.029,0.0006,0.6443,GCM,0.4895,0.01689003083
290,2,26.29,1012.87,22.719644,75.857691,9,0.027,0.001,BestEffort,0.029,0.001,0.6431,GCM,0.4901,0.01689003083
291,2,26.14,1013.48,22.719625,75.857664,9,0.027,0.0009,BestEffort,0.029,0.0009,0.6418,GCM,0.4903,0.01689003083
292,2,26.12,1015.46,22.71966,75.857719,7,0.027,0.0008,BestEffort,0.029,0.0008,0.6406,GCM,0.4905,0.01689003083
293,2,26.28,1009.4,22.719614,75.857723,7,0.027,0.0007,BestEffort,0.029,0.0007,0.6394,GCM,0.4907,0.01689003083
294,2,25.36,1012.89,22.719582,75.857716,7,0.027,0.0006,BestEffort,0.029,0.0006,0.6382,GCM,0.4909,0.01689003083
295,2,25.42,1013.51,22.719617,75.857712,1,0.027,0.0408,BestEffort,0.029,0.0408,0.6369,GCM,0.526,0.01689003083
296,2,26,1013.69,22.719453,75.857779,5,0.027,0.0068,BestEffort,0.028,0.0068,0.6357,GCM,0.4959,0.01689003083
297,2,25.52,1012.69,22.719619,75.857647,6,0.027,0.0005,BestEffort,0.028,0.0005,0.6345,GCM,0.4908,0.01689003083
298,2,25.39,1010.61,22.719418,75.857697,3,0.027,0.0259,BestEffort,0.028,0.0259,0.6332,GCM,0.513,0.01689003083
299,0,25.79,1013.74,22.719514,75.857757,-5,0.035,0.1408,BestEffort,0.033,0.1408,0.632,CTR,0.4199,0.01703005181
300,0,25.63,1015.84,22.719623,75.857763,0,0.035,0.0479,BestEffort,0.033,0.0479,0.6308,CTR,0.4202,0.01703005181
301,0,26.18,1010.95,22.719624,75.857629,1,0.031,0.0418,BestEffort,0.033,0.0418,0.6295,CTR,0.4204,0.01695975232
302,0,25.48,1014.55,22.719542,75.857684,2,0.031,0.0354,BestEffort,0.033,0.0354,0.6283,CTR,0.4207,0.01695975232
303,0,25.82,1012.76,22.719564,75.857768,5,0.031,0.0052,BestEffort,0.033,0.0052,0.6271,CTR,0.4209,0.01695975232
304,0,25.42,1013.16,22.719669,75.857725,4,0.031,0.0201,BestEffort,0.033,0.0201,0.6258,CTR,0.4212,0.01695975232
305,0,25.87,1011.67,22.719576,75.85771,5,0.031,0.0076,BestEffort,0.033,0.0076,0.6246,CTR,0.4214,0.01695975232
306,0,25.57,1012.75,22.719712,75.857689,1,0.031,0.0427,BestEffort,0.033,0.0427,0.6234,CTR,0.4217,0.01695975232
307,0,26.24,1015.2,22.7196,75.857681,-2,0.031,0.0852,BestEffort,0.033,0.0852,0.6222,CTR,0.4219,0.01695975232
308,0,25.57,1014.12,22.71962,75.857714,1,0.031,0.0442,BestEffort,0.033,0.0442,0.6209,CTR,0.4222,0.01695975232
309,0,25.72,1015.85,22.719681,75.857687,-2,0.031,0.0868,BestEffort,0.033,0.0868,0.6197,CTR,0.4224,0.01695975232
310,0,25.75,1015.02,22.719607,75.857698,-3,0.035,0.0891,BestEffort,0.035,0.0891,0.6185,CTR,0.4243,0.01703005181
311,0,25.63,1013.91,22.71955,75.857704,-6,0.035,0.1481,BestEffort,0.035,0.1481,0.6172,CTR,0.4245,0.01703005181
312,0,25.4,1015.87,22.719595,75.857666,-4,0.039,0.1187,BestEffort,0.037,0.1187,0.616,CTR,0.4264,0.01710093652
313,0,25.39,1013.91,22.719598,75.857727,-6,0.035,0.151,BestEffort,0.037,0.151,0.6148,CTR,0.4266,0.01703005181
314,0,26.25,1014.49,22.719532,75.857846,-4,0.039,0.1204,BestEffort,0.04,0.1204,0.6135,CTR,0.4293,0.01710093652
315,0,25.8,1012.81,22.719587,75.857611,0,0.039,0.0516,BestEffort,0.04,0.0516,0.6123,CTR,0.4295,0.01710093652
316,0,25.9,1013.35,22.719563,75.857716,2,0.039,0.0352,BestEffort,0.039,0.0352,0.6111,CTR,0.429,0.01710093652
317,0,25.68,1012.2,22.719646,75.857662,0,0.039,0.0496,BestEffort,0.039,0.0496,0.6098,CTR,0.4292,0.01710093652
318,0,26.17,1014.73,22.719602,75.857729,-5,0.039,0.1258,BestEffort,0.039,0.1258,0.6086,CTR,0.4295,0.01710093652
319,0,26.03,1011.48,22.719586,75.857702,-6,0.043,0.1497,BestEffort,0.044,0.1497,0.6074,CTR,0.4338,0.01717241379
320,0,26.14,1014.42,22.719595,75.857738,-3,0.043,0.1031,BestEffort,0.044,0.1031,0.6062,CTR,0.434,0.01717241379
321,0,26.06,1012.96,22.719611,75.857759,-1,0.043,0.0615,BestEffort,0.044,0.0615,0.6049,CTR,0.4343,0.01717241379
322,0,26.26,1015.01,22.719631,75.85771,-5,0.043,0.1382,BestEffort,0.044,0.1382,0.6037,CTR,0.4345,0.01717241379
323,0,25.78,1014.38,22.71955,75.857757,-5,0.047,0.1395,BestEffort,0.046,0.1395,0.6025,CTR,0.4364,0.01724449108
324,0,26.15,1015.98,22.719548,75.857583,-4,0.047,0.1186,BestEffort,0.048,0.1186,0.6012,CTR,0.4383,0.01724449108
325,0,25.75,1014.35,22.719655,75.85778,-5,0.055,0.1197,BestEffort,0.053,0.1197,0.6,CTR,0.4426,0.01739047619
326,0,25.95,1010.89,22.719579,75.857719,-5,0.051,0.1286,BestEffort,0.053,0.1286,0.5988,CTR,0.4428,0.01731717597
327,0,26.16,1013.15,22.719529,75.857754,-8,0.059,0.1954,BestEffort,0.058,0.1954,0.5975,CTR,0.4472,0.01746439957
328,0,25.36,1011.49,22.719622,75.857639,-6,0.062,0.1493,BestEffort,0.065,0.1493,0.5963,CTR,0.4532,0.01752025586
329,0,25.33,1012.47,22.719623,75.857658,-9,0.062,0.1931,BestEffort,0.064,0.1931,0.5951,CTR,0.4526,0.01752025586
330,0,26.21,1015.52,22.719523,75.857707,-6,0.062,0.1582,BestEffort,0.064,0.1582,0.5938,CTR,0.4529,0.01752025586
331,0,26,1014.21,22.719611,75.857699,-7,0.062,0.1691,BestEffort,0.064,0.1691,0.5926,CTR,0.4531,0.01752025586
332,0,25.87,1012.2,22.719637,75.857714,-6,0.062,0.1575,BestEffort,0.064,0.1575,0.5914,CTR,0.4533,0.01752025586
333,0,25.42,1011.73,22.719619,75.857754,-7,0.062,0.1704,BestEffort,0.064,0.1704,0.5902,CTR,0.4536,0.01752025586
334,0,25.57,1013.3,22.719632,75.857612,-7,0.062,0.1713,BestEffort,0.064,0.1713,0.5889,CTR,0.4538,0.01752025586
335,0,25.48,1011.43,22.71953,75.857749,-6,0.062,0.1538,BestEffort,0.064,0.1538,0.5877,CTR,0.4541,0.01752025586
336,0,25.51,1012.24,22.719617,75.8577,-7,0.062,0.1725,BestEffort,0.063,0.1725,0.5865,CTR,0.4535,0.01752025586
337,0,25.48,1013.72,22.719585,75.85769,-8,0.082,0.1974,BestEffort,0.082,0.1974,0.5852,CTR,0.4695,0.01790196078
338,0,25.79,1014.98,22.719576,75.857626,-8,0.082,0.1909,BestEffort,0.082,0.1909,0.584,CTR,0.4697,0.01790196078
339,0,25.32,1014.16,22.719644,75.857725,-3,0.082,0.0931,BestEffort,0.082,0.0931,0.5828,CTR,0.47,0.01790196078
340,0,25.33,1009.81,22.719674,75.857579,-4,0.082,0.1202,BestEffort,0.081,0.1202,0.5815,CTR,0.4694,0.01790196078
341,0,26.04,1013.71,22.71969,75.857732,0,0.082,0.0523,BestEffort,0.081,0.0523,0.5803,CTR,0.4696,0.01790196078
342,0,25.39,1013.36,22.719666,75.857625,-4,0.082,0.124,BestEffort,0.081,0.124,0.5791,CTR,0.4699,0.01790196078
343,0,26.21,1013.87,22.719595,75.857703,1,0.082,0.0411,BestEffort,0.081,0.0411,0.5778,CTR,0.4701,0.01790196078
344,0,26.09,1015.67,22.719618,75.857694,0,0.082,0.0523,BestEffort,0.081,0.0523,0.5766,CTR,0.4704,0.01790196078
345,0,25.64,1010.16,22.719638,75.857758,-3,0.082,0.1056,BestEffort,0.08,0.1056,0.5754,CTR,0.4698,0.01790196078
346,0,26.01,1012.36,22.719606,75.857691,-5,0.078,0.1479,BestEffort,0.08,0.1479,0.5742,CTR,0.47,0.01782429501
347,0,25.9,1014.14,22.719607,75.857665,-6,0.078,0.1482,BestEffort,0.08,0.1482,0.5729,CTR,0.4703,0.01782429501
348,0,26.19,1010.88,22.719641,75.857675,-4,0.078,0.1155,BestEffort,0.08,0.1155,0.5717,CTR,0.4705,0.01782429501
349,0,25.42,1015.46,22.719597,75.857764,1,0.078,0.0414,BestEffort,0.08,0.0414,0.5705,CTR,0.4708,0.01782429501
350,0,26.14,1013.8,22.719564,75.857727,1,0.078,0.041,BestEffort,0.08,0.041,0.5692,CTR,0.471,0.01782429501
351,0,25.46,1014.52,22.719579,75.857681,5,0.078,0.0082,BestEffort,0.079,0.0082,0.568,CTR,0.4704,0.01782429501
352,0,25.89,1012.39,22.719632,75.857688,-2,0.078,0.0702,BestEffort,0.079,0.0702,0.5668,CTR,0.4707,0.01782429501
353,0,25.77,1014.47,22.7196,75.857622,9,0.078,0.0008,BestEffort,0.079,0.0008,0.5655,CTR,0.4709,0.01782429501
354,0,25.68,1014.85,22.719617,75.857719,10,0.078,0.0007,BestEffort,0.079,0.0007,0.5643,CTR,0.4712,0.01782429501
355,2,26.24,1013.6,22.719634,75.857612,9,0.078,0.0009,BestEffort,0.079,0.0009,0.5631,GCM,0.5525,0.01782429501
356,2,25.77,1013.6,22.719581,75.857738,9,0.078,0.0007,BestEffort,0.078,0.0007,0.5618,GCM,0.5517,0.01782429501
357,2,25.41,1013.66,22.719638,75.857706,9,0.078,0.0008,BestEffort,0.078,0.0008,0.5606,GCM,0.5521,0.01782429501
358,2,25.54,1011.95,22.719619,75.857819,10,0.078,0.001,BestEffort,0.078,0.001,0.5594,GCM,0.5525,0.01782429501
359,2,25.61,1013.03,22.719538,75.857645,9,0.078,0.0006,BestEffort,0.078,0.0006,0.5582,GCM,0.5525,0.01782429501
360,2,25.8,1013.02,22.719672,75.857695,9,0.078,0.0009,BestEffort,0.078,0.0009,0.5569,GCM,0.553,0.01782429501
361,2,25.86,1013.83,22.719575,75.85779,9,0.078,0.0005,BestEffort,0.078,0.0005,0.5557,GCM,0.553,0.01782429501
362,2,25.87,1014.75,22.719517,75.85776,9,0.078,0.0007,BestEffort,0.077,0.0007,0.5545,GCM,0.5526,0.01782429501
363,2,25.72,1011.66,22.719548,75.857665,9,0.078,0.0009,BestEffort,0.077,0.0009,0.5532,GCM,0.553,0.01782429501
364,2,26.22,1013.06,22.719549,75.857711,9,0.078,0.0008,BestEffort,0.077,0.0008,0.552,GCM,0.5532,0.01782429501
365,2,25.76,1015.47,22.719603,75.8577,10,0.078,0.0008,BestEffort,0.077,0.0008,0.5508,GCM,0.5535,0.01782429501
366,2,26.29,1012.13,22.719586,75.857714,9,0.078,0.0006,BestEffort,0.077,0.0006,0.5495,GCM,0.5537,0.01782429501
367,2,25.96,1012.02,22.719583,75.857665,9,0.078,0.0007,BestEffort,0.077,0.0007,0.5483,GCM,0.554,0.01782429501
368,2,25.35,1013.55,22.719631,75.857696,10,0.074,0.0007,BestEffort,0.076,0.0007,0.5471,GCM,0.5534,0.01774730022
369,2,25.49,1014.52,22.719617,75.85762,9,0.074,0.0008,BestEffort,0.076,0.0008,0.5458,GCM,0.5538,0.01774730022
370,2,25.86,1013.27,22.719616,75.857707,9,0.074,0.0007,BestEffort,0.076,0.0007,0.5446,GCM,0.554,0.01774730022
371,2,26.01,1015.24,22.71962,75.857723,10,0.074,0.0007,BestEffort,0.076,0.0007,0.5434,GCM,0.5543,0.01774730022
372,2,25.76,1014.54,22.719631,75.857689,10,0.074,0.0007,BestEffort,0.076,0.0007,0.5422,GCM,0.5546,0.01774730022
373,2,26.09,1014.51,22.719495,75.857619,9,0.074,0.0006,BestEffort,0.076,0.0006,0.5409,GCM,0.5548,0.01774730022
374,2,25.48,1014.08,22.719582,75.857749,10,0.074,0.0007,BestEffort,0.075,0.0007,0.5397,GCM,0.5543,0.01774730022
375,2,25.35,1016.74,22.719491,75.857718,9,0.074,0.0006,BestEffort,0.075,0.0006,0.5385,GCM,0.5545,0.01774730022
376,2,25.87,1012.94,22.719602,75.857664,9,0.074,0.0009,BestEffort,0.075,0.0009,0.5372,GCM,0.5551,0.01774730022
377,2,26.13,1010.24,22.7196,75.857686,10,0.074,0.0008,BestEffort,0.075,0.0008,0.536,GCM,0.5553,0.01774730022
378,2,26.12,1015.66,22.719652,75.857625,10,0.074,0.0006,BestEffort,0.075,0.0006,0.5348,GCM,0.5554,0.01774730022
379,2,25.34,1012.56,22.719659,75.857649,10,0.074,0.0008,BestEffort,0.075,0.0008,0.5335,GCM,0.5559,0.01774730022
380,2,25.52,1013.41,22.71961,75.857673,9,0.074,0.0009,BestEffort,0.074,0.0009,0.5323,GCM,0.5553,0.01774730022
381,2,25.55,1015.21,22.719575,75.857761,9,0.074,0.0006,BestEffort,0.074,0.0006,0.5311,GCM,0.5554,0.01774730022
382,2,25.55,1010.85,22.719624,75.857668,10,0.074,0.0006,BestEffort,0.074,0.0006,0.5298,GCM,0.5557,0.01774730022
383,2,25.92,1011.37,22.719574,75.857732,10,0.074,0.0005,BestEffort,0.074,0.0005,0.5286,GCM,0.5559,0.01774730022
384,2,25.67,1010.85,22.7196,75.857673,9,0.074,0.0005,BestEffort,0.074,0.0005,0.5274,GCM,0.5562,0.01774730022
385,2,26.13,1012.06,22.719649,75.857712,9,0.074,0.0009,BestEffort,0.074,0.0009,0.5262,GCM,0.5568,0.01774730022
386,2,25.81,1013.91,22.719572,75.857693,10,0.074,0.001,BestEffort,0.074,0.001,0.5249,GCM,0.5572,0.01774730022
387,2,25.49,1014.04,22.71964,75.857744,9,0.074,0.0005,BestEffort,0.073,0.0005,0.5237,GCM,0.5562,0.01774730022
388,2,26.26,1013.66,22.719634,75.857673,9,0.074,0.0009,BestEffort,0.073,0.0009,0.5225,GCM,0.5568,0.01774730022
389,2,25.95,1011.13,22.719552,75.857621,9,0.074,0.0005,BestEffort,0.073,0.0005,0.5212,GCM,0.5567,0.01774730022
390,2,25.98,1009.78,22.719649,75.857631,10,0.074,0.0008,BestEffort,0.073,0.0008,0.52,GCM,0.5573,0.01774730022
391,2,26.07,1013.33,22.719635,75.857673,8,0.074,0.0009,BestEffort,0.073,0.0009,0.5188,GCM,0.5577,0.01774730022
392,2,25.31,1012.54,22.719605,75.857638,4,0.074,0.0139,BestEffort,0.073,0.0139,0.5175,GCM,0.5695,0.01774730022
393,2,25.37,1013.94,22.719562,75.857721,9,0.07,0.0005,BestEffort,0.072,0.0005,0.5163,GCM,0.557,0.01767096774
394,2,26.2,1014.3,22.719557,75.857677,7,0.07,0.0008,BestEffort,0.072,0.0008,0.5151,GCM,0.5576,0.01767096774
395,2,25.86,1013.46,22.719573,75.857819,8,0.07,0.001,BestEffort,0.072,0.001,0.5138,GCM,0.5581,0.01767096774
396,0,25.55,1014.39,22.719627,75.857613,-4,0.07,0.1171,BestEffort,0.072,0.1171,0.5126,CTR,0.4757,0.01767096774
